"b","edge","from","to","weight"
20,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.031
20,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.199
21,"PIJN__to__PIJN","PIJN","PIJN",0.373
21,"PIJN__to__MOE","PIJN","MOE",0.015
21,"PIJN__to__STRESS","PIJN","STRESS",-0.004
21,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.006
21,"MOE__to__PIJN","MOE","PIJN",-0.057
21,"MOE__to__MOE","MOE","MOE",0.258
21,"MOE__to__STRESS","MOE","STRESS",-0.118
21,"MOE__to__ENMO_log","MOE","ENMO_log",-0.01
21,"STRESS__to__PIJN","STRESS","PIJN",0.1
21,"STRESS__to__MOE","STRESS","MOE",0.069
21,"STRESS__to__STRESS","STRESS","STRESS",0.291
21,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.172
21,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.091
21,"ENMO_log__to__MOE","ENMO_log","MOE",-0.107
21,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.045
21,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.166
22,"PIJN__to__PIJN","PIJN","PIJN",0.428
22,"PIJN__to__MOE","PIJN","MOE",0.067
22,"PIJN__to__STRESS","PIJN","STRESS",0.017
22,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.008
22,"MOE__to__PIJN","MOE","PIJN",-0.055
22,"MOE__to__MOE","MOE","MOE",0.291
22,"MOE__to__STRESS","MOE","STRESS",-0.063
22,"MOE__to__ENMO_log","MOE","ENMO_log",-0.052
22,"STRESS__to__PIJN","STRESS","PIJN",0.05
22,"STRESS__to__MOE","STRESS","MOE",-0.009
22,"STRESS__to__STRESS","STRESS","STRESS",0.402
22,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.061
22,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.09
22,"ENMO_log__to__MOE","ENMO_log","MOE",-0.128
22,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.043
22,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.239
23,"PIJN__to__PIJN","PIJN","PIJN",0.317
23,"PIJN__to__MOE","PIJN","MOE",0.074
23,"PIJN__to__STRESS","PIJN","STRESS",-0.04
23,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.023
23,"MOE__to__PIJN","MOE","PIJN",0.032
23,"MOE__to__MOE","MOE","MOE",0.226
23,"MOE__to__STRESS","MOE","STRESS",-0.098
23,"MOE__to__ENMO_log","MOE","ENMO_log",-0.069
23,"STRESS__to__PIJN","STRESS","PIJN",-0.014
23,"STRESS__to__MOE","STRESS","MOE",0.018
23,"STRESS__to__STRESS","STRESS","STRESS",0.372
23,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.008
23,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.04
23,"ENMO_log__to__MOE","ENMO_log","MOE",-0.149
23,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.013
23,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.186
24,"PIJN__to__PIJN","PIJN","PIJN",0.321
24,"PIJN__to__MOE","PIJN","MOE",0.022
24,"PIJN__to__STRESS","PIJN","STRESS",-0.03
24,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.041
24,"MOE__to__PIJN","MOE","PIJN",-0.015
24,"MOE__to__MOE","MOE","MOE",0.269
24,"MOE__to__STRESS","MOE","STRESS",-0.112
24,"MOE__to__ENMO_log","MOE","ENMO_log",-0.05
24,"STRESS__to__PIJN","STRESS","PIJN",0.089
24,"STRESS__to__MOE","STRESS","MOE",0.077
24,"STRESS__to__STRESS","STRESS","STRESS",0.349
24,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.047
24,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.054
24,"ENMO_log__to__MOE","ENMO_log","MOE",-0.125
24,"ENMO_log__to__STRESS","ENMO_log","STRESS",-0.024
24,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.156
25,"PIJN__to__PIJN","PIJN","PIJN",0.345
25,"PIJN__to__MOE","PIJN","MOE",0.023
25,"PIJN__to__STRESS","PIJN","STRESS",0.013
25,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.028
25,"MOE__to__PIJN","MOE","PIJN",-0.042
25,"MOE__to__MOE","MOE","MOE",0.21
25,"MOE__to__STRESS","MOE","STRESS",-0.084
25,"MOE__to__ENMO_log","MOE","ENMO_log",-0.051
25,"STRESS__to__PIJN","STRESS","PIJN",0.126
25,"STRESS__to__MOE","STRESS","MOE",0.119
25,"STRESS__to__STRESS","STRESS","STRESS",0.322
25,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.03
25,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.006
25,"ENMO_log__to__MOE","ENMO_log","MOE",-0.06
25,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.027
25,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.138
26,"PIJN__to__PIJN","PIJN","PIJN",0.291
26,"PIJN__to__MOE","PIJN","MOE",0.03
26,"PIJN__to__STRESS","PIJN","STRESS",0.018
26,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.007
26,"MOE__to__PIJN","MOE","PIJN",0.078
26,"MOE__to__MOE","MOE","MOE",0.307
26,"MOE__to__STRESS","MOE","STRESS",-0.038
26,"MOE__to__ENMO_log","MOE","ENMO_log",-0.058
26,"STRESS__to__PIJN","STRESS","PIJN",0.091
26,"STRESS__to__MOE","STRESS","MOE",0.051
26,"STRESS__to__STRESS","STRESS","STRESS",0.354
26,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.02
26,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.028
26,"ENMO_log__to__MOE","ENMO_log","MOE",-0.098
26,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.044
26,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.111
27,"PIJN__to__PIJN","PIJN","PIJN",0.375
27,"PIJN__to__MOE","PIJN","MOE",0.062
27,"PIJN__to__STRESS","PIJN","STRESS",0.061
27,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.057
27,"MOE__to__PIJN","MOE","PIJN",0.012
27,"MOE__to__MOE","MOE","MOE",0.294
27,"MOE__to__STRESS","MOE","STRESS",-0.084
27,"MOE__to__ENMO_log","MOE","ENMO_log",-0.01
27,"STRESS__to__PIJN","STRESS","PIJN",0.129
27,"STRESS__to__MOE","STRESS","MOE",0.066
27,"STRESS__to__STRESS","STRESS","STRESS",0.372
27,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.143
27,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.046
27,"ENMO_log__to__MOE","ENMO_log","MOE",-0.108
27,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.03
27,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.028
28,"PIJN__to__PIJN","PIJN","PIJN",0.299
28,"PIJN__to__MOE","PIJN","MOE",0.038
28,"PIJN__to__STRESS","PIJN","STRESS",0.033
28,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.022
28,"MOE__to__PIJN","MOE","PIJN",0.001
28,"MOE__to__MOE","MOE","MOE",0.255
28,"MOE__to__STRESS","MOE","STRESS",-0.052
28,"MOE__to__ENMO_log","MOE","ENMO_log",-0.041
28,"STRESS__to__PIJN","STRESS","PIJN",0.106
28,"STRESS__to__MOE","STRESS","MOE",0.061
28,"STRESS__to__STRESS","STRESS","STRESS",0.338
28,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.123
28,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.117
28,"ENMO_log__to__MOE","ENMO_log","MOE",-0.126
28,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.057
28,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.106
29,"PIJN__to__PIJN","PIJN","PIJN",0.373
29,"PIJN__to__MOE","PIJN","MOE",0.035
29,"PIJN__to__STRESS","PIJN","STRESS",0.013
29,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.002
29,"MOE__to__PIJN","MOE","PIJN",0.005
29,"MOE__to__MOE","MOE","MOE",0.315
29,"MOE__to__STRESS","MOE","STRESS",-0.037
29,"MOE__to__ENMO_log","MOE","ENMO_log",-0.136
29,"STRESS__to__PIJN","STRESS","PIJN",0.069
29,"STRESS__to__MOE","STRESS","MOE",0.025
29,"STRESS__to__STRESS","STRESS","STRESS",0.367
