"dropped","edge","from","to","weight","P"
"P14","MOE__to__ENMO_log","MOE","ENMO_log",-0.052,0.297
"P14","STRESS__to__PIJN","STRESS","PIJN",0.082,0.03
"P14","STRESS__to__MOE","STRESS","MOE",0.053,0.113
"P14","STRESS__to__STRESS","STRESS","STRESS",0.327,0
"P14","STRESS__to__ENMO_log","STRESS","ENMO_log",0.073,0.141
"P14","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.052,0.332
"P14","ENMO_log__to__MOE","ENMO_log","MOE",-0.126,0.021
"P14","ENMO_log__to__STRESS","ENMO_log","STRESS",0.03,0.316
"P14","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.161,0.004
"P15","PIJN__to__PIJN","PIJN","PIJN",0.365,0
"P15","PIJN__to__MOE","PIJN","MOE",0.067,0.189
"P15","PIJN__to__STRESS","PIJN","STRESS",0.029,0.601
"P15","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.011,0.82
"P15","MOE__to__PIJN","MOE","PIJN",0.007,0.87
"P15","MOE__to__MOE","MOE","MOE",0.277,0
"P15","MOE__to__STRESS","MOE","STRESS",-0.077,0.052
"P15","MOE__to__ENMO_log","MOE","ENMO_log",-0.065,0.189
"P15","STRESS__to__PIJN","STRESS","PIJN",0.085,0.025
"P15","STRESS__to__MOE","STRESS","MOE",0.058,0.089
"P15","STRESS__to__STRESS","STRESS","STRESS",0.331,0
"P15","STRESS__to__ENMO_log","STRESS","ENMO_log",0.058,0.243
"P15","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.055,0.309
"P15","ENMO_log__to__MOE","ENMO_log","MOE",-0.125,0.023
"P15","ENMO_log__to__STRESS","ENMO_log","STRESS",0.024,0.424
"P15","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.156,0.005
"P16","PIJN__to__PIJN","PIJN","PIJN",0.364,0
"P16","PIJN__to__MOE","PIJN","MOE",0.068,0.173
"P16","PIJN__to__STRESS","PIJN","STRESS",0.03,0.593
"P16","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.002,0.967
"P16","MOE__to__PIJN","MOE","PIJN",-0.009,0.823
"P16","MOE__to__MOE","MOE","MOE",0.273,0
"P16","MOE__to__STRESS","MOE","STRESS",-0.081,0.04
"P16","MOE__to__ENMO_log","MOE","ENMO_log",-0.064,0.203
"P16","STRESS__to__PIJN","STRESS","PIJN",0.085,0.02
"P16","STRESS__to__MOE","STRESS","MOE",0.056,0.091
"P16","STRESS__to__STRESS","STRESS","STRESS",0.335,0
"P16","STRESS__to__ENMO_log","STRESS","ENMO_log",0.071,0.147
"P16","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.053,0.332
"P16","ENMO_log__to__MOE","ENMO_log","MOE",-0.097,0.019
"P16","ENMO_log__to__STRESS","ENMO_log","STRESS",0.026,0.39
"P16","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.152,0.007
"P17","PIJN__to__PIJN","PIJN","PIJN",0.344,0
"P17","PIJN__to__MOE","PIJN","MOE",0.047,0.355
"P17","PIJN__to__STRESS","PIJN","STRESS",0.025,0.67
"P17","PIJN__to__ENMO_log","PIJN","ENMO_log",0,0.997
"P17","MOE__to__PIJN","MOE","PIJN",0.025,0.586
"P17","MOE__to__MOE","MOE","MOE",0.301,0
"P17","MOE__to__STRESS","MOE","STRESS",-0.046,0.224
"P17","MOE__to__ENMO_log","MOE","ENMO_log",-0.055,0.295
"P17","STRESS__to__PIJN","STRESS","PIJN",0.095,0.012
"P17","STRESS__to__MOE","STRESS","MOE",0.07,0.031
"P17","STRESS__to__STRESS","STRESS","STRESS",0.316,0
"P17","STRESS__to__ENMO_log","STRESS","ENMO_log",0.097,0.035
"P17","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.061,0.268
"P17","ENMO_log__to__MOE","ENMO_log","MOE",-0.141,0.011
"P17","ENMO_log__to__STRESS","ENMO_log","STRESS",0.03,0.31
"P17","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.148,0.008
"P18","PIJN__to__PIJN","PIJN","PIJN",0.364,0
"P18","PIJN__to__MOE","PIJN","MOE",0.072,0.149
"P18","PIJN__to__STRESS","PIJN","STRESS",0.049,0.32
"P18","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.015,0.767
"P18","MOE__to__PIJN","MOE","PIJN",0.008,0.854
"P18","MOE__to__MOE","MOE","MOE",0.282,0
"P18","MOE__to__STRESS","MOE","STRESS",-0.065,0.091
"P18","MOE__to__ENMO_log","MOE","ENMO_log",-0.061,0.22
"P18","STRESS__to__PIJN","STRESS","PIJN",0.085,0.024
"P18","STRESS__to__MOE","STRESS","MOE",0.052,0.113
"P18","STRESS__to__STRESS","STRESS","STRESS",0.348,0
"P18","STRESS__to__ENMO_log","STRESS","ENMO_log",0.056,0.25
"P18","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.063,0.25
"P18","ENMO_log__to__MOE","ENMO_log","MOE",-0.14,0.011
"P18","ENMO_log__to__STRESS","ENMO_log","STRESS",0.031,0.289
"P18","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.154,0.006
"P19","PIJN__to__PIJN","PIJN","PIJN",0.359,0
"P19","PIJN__to__MOE","PIJN","MOE",0.062,0.226
"P19","PIJN__to__STRESS","PIJN","STRESS",0.031,0.578
"P19","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.005,0.917
"P19","MOE__to__PIJN","MOE","PIJN",0.01,0.821
"P19","MOE__to__MOE","MOE","MOE",0.284,0
"P19","MOE__to__STRESS","MOE","STRESS",-0.07,0.072
"P19","MOE__to__ENMO_log","MOE","ENMO_log",-0.058,0.235
"P19","STRESS__to__PIJN","STRESS","PIJN",0.079,0.035
"P19","STRESS__to__MOE","STRESS","MOE",0.054,0.111
"P19","STRESS__to__STRESS","STRESS","STRESS",0.334,0
"P19","STRESS__to__ENMO_log","STRESS","ENMO_log",0.064,0.202
"P19","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.061,0.272
"P19","ENMO_log__to__MOE","ENMO_log","MOE",-0.137,0.016
"P19","ENMO_log__to__STRESS","ENMO_log","STRESS",0.029,0.343
"P19","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.15,0.008
"P20","PIJN__to__PIJN","PIJN","PIJN",0.346,0
"P20","PIJN__to__MOE","PIJN","MOE",0.039,0.384
"P20","PIJN__to__STRESS","PIJN","STRESS",0.024,0.644
"P20","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.009,0.848
"P20","MOE__to__PIJN","MOE","PIJN",0.011,0.813
"P20","MOE__to__MOE","MOE","MOE",0.292,0
"P20","MOE__to__STRESS","MOE","STRESS",-0.071,0.071
"P20","MOE__to__ENMO_log","MOE","ENMO_log",-0.054,0.271
"P20","STRESS__to__PIJN","STRESS","PIJN",0.081,0.034
"P20","STRESS__to__MOE","STRESS","MOE",0.047,0.16
"P20","STRESS__to__STRESS","STRESS","STRESS",0.333,0
"P20","STRESS__to__ENMO_log","STRESS","ENMO_log",0.062,0.209
"P20","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.066,0.253
"P20","ENMO_log__to__MOE","ENMO_log","MOE",-0.149,0.008
"P20","ENMO_log__to__STRESS","ENMO_log","STRESS",0.031,0.319
"P20","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.137,0.012
"P21","PIJN__to__PIJN","PIJN","PIJN",0.369,0
"P21","PIJN__to__MOE","PIJN","MOE",0.066,0.199
"P21","PIJN__to__STRESS","PIJN","STRESS",0.033,0.551
"P21","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.004,0.931
"P21","MOE__to__PIJN","MOE","PIJN",0.009,0.831
"P21","MOE__to__MOE","MOE","MOE",0.286,0
"P21","MOE__to__STRESS","MOE","STRESS",-0.07,0.079
"P21","MOE__to__ENMO_log","MOE","ENMO_log",-0.063,0.2
"P21","STRESS__to__PIJN","STRESS","PIJN",0.075,0.039
"P21","STRESS__to__MOE","STRESS","MOE",0.052,0.12
"P21","STRESS__to__STRESS","STRESS","STRESS",0.339,0
"P21","STRESS__to__ENMO_log","STRESS","ENMO_log",0.07,0.16
"P21","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.061,0.258
"P21","ENMO_log__to__MOE","ENMO_log","MOE",-0.13,0.02
"P21","ENMO_log__to__STRESS","ENMO_log","STRESS",0.033,0.274
"P21","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.151,0.007
"P22","PIJN__to__PIJN","PIJN","PIJN",0.364,0
"P22","PIJN__to__MOE","PIJN","MOE",0.064,0.2
"P22","PIJN__to__STRESS","PIJN","STRESS",0.034,0.528
"P22","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.001,0.979
"P22","MOE__to__PIJN","MOE","PIJN",0.013,0.777
"P22","MOE__to__MOE","MOE","MOE",0.291,0
"P22","MOE__to__STRESS","MOE","STRESS",-0.074,0.068
"P22","MOE__to__ENMO_log","MOE","ENMO_log",-0.066,0.195
"P22","STRESS__to__PIJN","STRESS","PIJN",0.08,0.028
"P22","STRESS__to__MOE","STRESS","MOE",0.052,0.107
"P22","STRESS__to__STRESS","STRESS","STRESS",0.334,0
"P22","STRESS__to__ENMO_log","STRESS","ENMO_log",0.065,0.195
"P22","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.058,0.277
"P22","ENMO_log__to__MOE","ENMO_log","MOE",-0.13,0.017
"P22","ENMO_log__to__STRESS","ENMO_log","STRESS",0.027,0.363
"P22","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.158,0.006
"P23","PIJN__to__PIJN","PIJN","PIJN",0.369,0
"P23","PIJN__to__MOE","PIJN","MOE",0.064,0.211
"P23","PIJN__to__STRESS","PIJN","STRESS",0.033,0.562
"P23","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.011,0.834
"P23","MOE__to__PIJN","MOE","PIJN",0,0.997
"P23","MOE__to__MOE","MOE","MOE",0.276,0
"P23","MOE__to__STRESS","MOE","STRESS",-0.075,0.07
"P23","MOE__to__ENMO_log","MOE","ENMO_log",-0.046,0.386
"P23","STRESS__to__PIJN","STRESS","PIJN",0.069,0.054
"P23","STRESS__to__MOE","STRESS","MOE",0.048,0.149
"P23","STRESS__to__STRESS","STRESS","STRESS",0.321,0
"P23","STRESS__to__ENMO_log","STRESS","ENMO_log",0.067,0.199
"P23","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.05,0.352
"P23","ENMO_log__to__MOE","ENMO_log","MOE",-0.129,0.018
"P23","ENMO_log__to__STRESS","ENMO_log","STRESS",0.038,0.202
"P23","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.17,0.003
"P24","PIJN__to__PIJN","PIJN","PIJN",0.346,0
"P24","PIJN__to__MOE","PIJN","MOE",0.065,0.206
"P24","PIJN__to__STRESS","PIJN","STRESS",0.02,0.707
"P24","PIJN__to__ENMO_log","PIJN","ENMO_log",0.007,0.89
"P24","MOE__to__PIJN","MOE","PIJN",0.02,0.665
"P24","MOE__to__MOE","MOE","MOE",0.271,0
"P24","MOE__to__STRESS","MOE","STRESS",-0.077,0.069
"P24","MOE__to__ENMO_log","MOE","ENMO_log",-0.052,0.32
"P24","STRESS__to__PIJN","STRESS","PIJN",0.092,0.017
"P24","STRESS__to__MOE","STRESS","MOE",0.064,0.062
"P24","STRESS__to__STRESS","STRESS","STRESS",0.336,0
"P24","STRESS__to__ENMO_log","STRESS","ENMO_log",0.056,0.27
"P24","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.057,0.311
"P24","ENMO_log__to__MOE","ENMO_log","MOE",-0.127,0.023
"P24","ENMO_log__to__STRESS","ENMO_log","STRESS",0.026,0.388
"P24","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.147,0.009
"P25","PIJN__to__PIJN","PIJN","PIJN",0.381,0
"P25","PIJN__to__MOE","PIJN","MOE",0.071,0.159
"P25","PIJN__to__STRESS","PIJN","STRESS",0.023,0.681
"P25","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.004,0.944
"P25","MOE__to__PIJN","MOE","PIJN",0.017,0.698
"P25","MOE__to__MOE","MOE","MOE",0.282,0
"P25","MOE__to__STRESS","MOE","STRESS",-0.064,0.109
"P25","MOE__to__ENMO_log","MOE","ENMO_log",-0.06,0.232
"P25","STRESS__to__PIJN","STRESS","PIJN",0.084,0.024
"P25","STRESS__to__MOE","STRESS","MOE",0.054,0.1
"P25","STRESS__to__STRESS","STRESS","STRESS",0.34,0
"P25","STRESS__to__ENMO_log","STRESS","ENMO_log",0.072,0.149
"P25","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.046,0.388
"P25","ENMO_log__to__MOE","ENMO_log","MOE",-0.126,0.023
"P25","ENMO_log__to__STRESS","ENMO_log","STRESS",0.034,0.26
"P25","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.155,0.006
"P26","PIJN__to__PIJN","PIJN","PIJN",0.344,0
"P26","PIJN__to__MOE","PIJN","MOE",0.08,0.118
"P26","PIJN__to__STRESS","PIJN","STRESS",0.035,0.532
"P26","PIJN__to__ENMO_log","PIJN","ENMO_log",0.002,0.965
"P26","MOE__to__PIJN","MOE","PIJN",0.023,0.626
"P26","MOE__to__MOE","MOE","MOE",0.271,0
"P26","MOE__to__STRESS","MOE","STRESS",-0.077,0.057
"P26","MOE__to__ENMO_log","MOE","ENMO_log",-0.06,0.229
"P26","STRESS__to__PIJN","STRESS","PIJN",0.081,0.029
"P26","STRESS__to__MOE","STRESS","MOE",0.05,0.132
"P26","STRESS__to__STRESS","STRESS","STRESS",0.331,0
"P26","STRESS__to__ENMO_log","STRESS","ENMO_log",0.065,0.182
"P26","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.056,0.311
"P26","ENMO_log__to__MOE","ENMO_log","MOE",-0.127,0.022
"P26","ENMO_log__to__STRESS","ENMO_log","STRESS",0.029,0.336
"P26","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.157,0.005
"P27","PIJN__to__PIJN","PIJN","PIJN",0.378,0
"P27","PIJN__to__MOE","PIJN","MOE",0.072,0.155
"P27","PIJN__to__STRESS","PIJN","STRESS",0.054,0.275
"P27","PIJN__to__ENMO_log","PIJN","ENMO_log",0.008,0.881
"P27","MOE__to__PIJN","MOE","PIJN",0.021,0.626
"P27","MOE__to__MOE","MOE","MOE",0.294,0
"P27","MOE__to__STRESS","MOE","STRESS",-0.063,0.106
"P27","MOE__to__ENMO_log","MOE","ENMO_log",-0.06,0.238
"P27","STRESS__to__PIJN","STRESS","PIJN",0.086,0.027
"P27","STRESS__to__MOE","STRESS","MOE",0.042,0.211
"P27","STRESS__to__STRESS","STRESS","STRESS",0.329,0
"P27","STRESS__to__ENMO_log","STRESS","ENMO_log",0.063,0.217
"P27","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.059,0.279
"P27","ENMO_log__to__MOE","ENMO_log","MOE",-0.13,0.019
"P27","ENMO_log__to__STRESS","ENMO_log","STRESS",0.036,0.219
"P27","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.155,0.006
"P28","PIJN__to__PIJN","PIJN","PIJN",0.371,0
"P28","PIJN__to__MOE","PIJN","MOE",0.066,0.19
"P28","PIJN__to__STRESS","PIJN","STRESS",0.039,0.494
